Employee_ID,Age,Gender,Industry,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Sleep_Quality
EMP1335,55,Male,Finance,Remote,59,6,2,Low,Depression,No,Increase,1,Neutral,Good
EMP1336,40,Female,Education,Onsite,54,0,4,Medium,Burnout,Yes,Increase,5,Neutral,Average
EMP1337,39,Non-binary,Consulting,Remote,34,8,3,High,Depression,Yes,Increase,4,Satisfied,Good
EMP1338,51,Male,Healthcare,Remote,37,3,2,Low,,No,Decrease,2,Satisfied,Good
EMP1339,40,Male,Finance,Remote,24,5,3,High,,Yes,Increase,1,Unsatisfied,Average
EMP1340,34,Female,Education,Remote,60,0,2,Medium,Anxiety,Yes,Decrease,2,Satisfied,Average
EMP1341,49,Non-binary,Finance,Onsite,34,5,2,Low,Anxiety,No,Decrease,3,Unsatisfied,Average
EMP1342,24,Non-binary,IT,Onsite,25,0,3,High,Burnout,No,Decrease,4,Satisfied,Good
EMP1343,48,Non-binary,IT,Remote,41,13,3,Low,Depression,No,Decrease,2,Neutral,Average
EMP1344,40,Non-binary,IT,Remote,54,15,2,High,Anxiety,No,No Change,2,Neutral,Average
EMP1345,45,Prefer not to say,IT,Onsite,39,2,1,Low,,Yes,Increase,2,Unsatisfied,Poor
EMP1346,30,Female,Healthcare,Onsite,52,15,2,High,,No,Increase,1,Neutral,Good
EMP1347,25,Prefer not to say,IT,Remote,54,5,1,High,Burnout,No,No Change,5,Satisfied,Average
EMP1348,57,Non-binary,Healthcare,Onsite,22,15,5,Medium,,Yes,No Change,5,Satisfied,Poor
EMP1349,53,Female,Consulting,Hybrid,43,11,4,Low,Anxiety,Yes,Increase,4,Satisfied,Good
EMP1350,56,Male,Retail,Hybrid,35,14,5,High,Burnout,Yes,Increase,4,Neutral,Average
EMP1351,26,Prefer not to say,Manufacturing,Onsite,26,0,1,Low,Anxiety,No,No Change,2,Satisfied,Average
EMP1352,58,Male,Consulting,Onsite,32,13,4,Low,Depression,No,No Change,2,Unsatisfied,Average
EMP1353,57,Non-binary,IT,Remote,53,9,3,Medium,,No,Decrease,3,Unsatisfied,Average
EMP1354,44,Prefer not to say,Healthcare,Remote,32,15,3,High,Burnout,Yes,Increase,3,Unsatisfied,Average
EMP1355,32,Male,Education,Hybrid,35,1,5,High,Burnout,Yes,Increase,4,Unsatisfied,Average
EMP1356,42,Non-binary,Manufacturing,Hybrid,44,6,5,High,Burnout,No,No Change,3,Neutral,Poor
EMP1357,43,Non-binary,Consulting,Onsite,24,5,3,High,Anxiety,Yes,Decrease,5,Unsatisfied,Average
EMP1358,58,Male,Manufacturing,Remote,47,14,5,High,Burnout,No,Increase,4,Neutral,Poor
EMP1359,27,Female,Retail,Hybrid,32,1,5,Low,,Yes,Decrease,3,Unsatisfied,Average
EMP1360,25,Female,Finance,Remote,32,0,2,Medium,,No,Decrease,4,Neutral,Good
EMP1361,30,Prefer not to say,Manufacturing,Remote,39,4,1,Low,Burnout,No,Increase,2,Neutral,Good
EMP1362,44,Female,Healthcare,Remote,49,11,2,Medium,Anxiety,Yes,Increase,2,Satisfied,Good
EMP1363,28,Non-binary,Education,Remote,59,7,4,High,Anxiety,No,No Change,3,Neutral,Poor
EMP1364,36,Male,IT,Hybrid,23,13,5,Medium,,No,Decrease,5,Unsatisfied,Average
EMP1365,35,Prefer not to say,Retail,Remote,34,0,1,Medium,Burnout,Yes,Increase,2,Unsatisfied,Poor
EMP1366,29,Prefer not to say,IT,Hybrid,49,4,4,High,Depression,No,Decrease,4,Unsatisfied,Good
EMP1367,56,Male,Finance,Remote,39,11,4,Medium,,No,Increase,5,Unsatisfied,Average
EMP1368,45,Male,Healthcare,Remote,26,13,3,High,Burnout,No,No Change,3,Unsatisfied,Average
EMP1369,47,Male,Consulting,Hybrid,50,7,1,Medium,Burnout,No,Decrease,5,Satisfied,Good
EMP1370,41,Female,Finance,Hybrid,46,4,2,Medium,Burnout,No,Increase,4,Satisfied,Poor
EMP1371,47,Prefer not to say,Consulting,Onsite,46,6,5,Medium,Anxiety,No,Increase,1,Satisfied,Poor
EMP1372,32,Male,IT,Hybrid,22,7,2,Low,,Yes,No Change,3,Neutral,Poor
EMP1373,56,Non-binary,IT,Hybrid,56,13,5,Low,,Yes,No Change,1,Unsatisfied,Poor
EMP1374,60,Prefer not to say,Education,Remote,35,8,5,High,Burnout,Yes,Decrease,2,Satisfied,Average
EMP1375,42,Non-binary,Manufacturing,Onsite,54,15,3,Low,,Yes,No Change,3,Satisfied,Good
EMP1376,36,Non-binary,Retail,Hybrid,51,5,5,Medium,,No,Increase,4,Neutral,Poor
EMP1377,40,Non-binary,Finance,Remote,45,4,4,Medium,,Yes,Increase,1,Neutral,Good
EMP1378,32,Male,Education,Remote,42,4,2,High,Anxiety,No,Increase,5,Unsatisfied,Poor
EMP1379,32,Female,Retail,Hybrid,55,9,3,Low,Depression,Yes,No Change,3,Satisfied,Good
EMP1380,49,Non-binary,Retail,Onsite,21,5,1,High,Burnout,No,Increase,4,Satisfied,Good
EMP1381,42,Non-binary,Healthcare,Onsite,41,15,5,Low,,No,Increase,1,Satisfied,Average
EMP1382,39,Prefer not to say,Healthcare,Onsite,49,13,5,High,Depression,Yes,Decrease,3,Unsatisfied,Average
EMP1383,29,Non-binary,Finance,Remote,47,7,2,High,Burnout,No,Increase,5,Neutral,Average
EMP1384,52,Non-binary,Healthcare,Onsite,29,8,2,High,Burnout,No,Increase,2,Satisfied,Average
EMP1385,25,Prefer not to say,Manufacturing,Remote,20,5,3,Low,Depression,Yes,Decrease,5,Neutral,Good
EMP1386,58,Male,Consulting,Remote,20,5,5,Medium,,Yes,Decrease,2,Neutral,Good
EMP1387,59,Prefer not to say,IT,Remote,25,15,3,Medium,Anxiety,No,Increase,4,Unsatisfied,Average
EMP1388,60,Male,Education,Onsite,23,10,5,High,Depression,Yes,Decrease,4,Neutral,Poor
EMP1389,24,Male,IT,Hybrid,43,9,5,Low,Anxiety,No,Increase,1,Satisfied,Average
EMP1390,49,Prefer not to say,Retail,Remote,39,0,1,High,Anxiety,No,Increase,1,Neutral,Good
EMP1391,25,Female,Healthcare,Onsite,45,11,3,Low,Burnout,No,Increase,1,Unsatisfied,Good
EMP1392,56,Female,Education,Remote,20,15,1,Medium,,No,Decrease,5,Neutral,Poor
EMP1393,34,Prefer not to say,Education,Onsite,58,10,3,High,Burnout,Yes,Increase,5,Unsatisfied,Average
EMP1394,43,Prefer not to say,Finance,Onsite,45,0,5,High,Burnout,No,Decrease,1,Neutral,Poor
EMP1395,56,Non-binary,Manufacturing,Onsite,32,5,4,Low,Burnout,Yes,Decrease,1,Neutral,Average
EMP1396,46,Male,Finance,Hybrid,45,15,4,High,Burnout,No,No Change,4,Unsatisfied,Average
EMP1397,35,Non-binary,Education,Hybrid,35,11,1,Medium,Depression,No,Increase,3,Unsatisfied,Poor
EMP1398,56,Male,IT,Remote,22,15,5,High,Depression,No,Increase,2,Unsatisfied,Average
EMP1399,27,Male,IT,Hybrid,21,12,2,Low,Anxiety,No,Decrease,4,Unsatisfied,Average
EMP1400,58,Prefer not to say,IT,Onsite,23,1,1,Low,Burnout,Yes,Decrease,4,Neutral,Good
EMP1401,26,Female,Healthcare,Remote,39,0,5,Medium,Burnout,No,No Change,3,Unsatisfied,Good
EMP1402,31,Non-binary,Consulting,Onsite,43,3,3,Low,,Yes,Decrease,1,Unsatisfied,Good
EMP1403,53,Female,Consulting,Hybrid,32,13,4,High,Depression,Yes,Decrease,5,Neutral,Good
EMP1404,41,Prefer not to say,Finance,Onsite,27,8,1,High,Burnout,Yes,No Change,1,Neutral,Good
EMP1405,24,Prefer not to say,Healthcare,Hybrid,45,3,4,Low,Depression,No,Decrease,3,Satisfied,Poor
EMP1406,46,Prefer not to say,Healthcare,Hybrid,26,12,3,Low,Depression,No,Decrease,4,Satisfied,Poor
EMP1407,45,Female,Finance,Remote,28,1,3,High,,No,Decrease,2,Neutral,Poor
EMP1408,23,Non-binary,Finance,Hybrid,43,13,5,High,,No,No Change,5,Satisfied,Poor
EMP1409,55,Non-binary,Manufacturing,Remote,28,12,2,High,,Yes,Increase,5,Unsatisfied,Good
EMP1410,38,Male,IT,Hybrid,37,0,3,High,Anxiety,Yes,No Change,4,Neutral,Poor
EMP1411,34,Non-binary,IT,Remote,21,13,3,High,Anxiety,No,Decrease,4,Satisfied,Average
EMP1412,24,Female,Education,Remote,38,1,5,Low,Burnout,No,Decrease,4,Unsatisfied,Poor
EMP1413,46,Non-binary,Finance,Onsite,28,5,3,High,Burnout,Yes,No Change,1,Satisfied,Good
EMP1414,36,Prefer not to say,Healthcare,Remote,33,0,2,Medium,Anxiety,No,Increase,3,Unsatisfied,Average
EMP1415,30,Male,IT,Onsite,25,4,4,High,Depression,Yes,No Change,1,Satisfied,Good
EMP1416,34,Male,Manufacturing,Onsite,44,9,1,Low,Depression,No,Increase,5,Neutral,Good
EMP1417,40,Female,Education,Remote,49,15,5,Low,Depression,Yes,No Change,4,Satisfied,Average
EMP1418,37,Male,Consulting,Remote,60,0,5,High,,No,No Change,5,Satisfied,Average
EMP1419,37,Non-binary,IT,Onsite,28,3,2,Low,Depression,Yes,Increase,3,Satisfied,Poor
EMP1420,33,Non-binary,IT,Remote,41,5,3,Medium,Burnout,Yes,No Change,4,Neutral,Average
EMP1421,53,Prefer not to say,IT,Onsite,51,13,1,Low,Anxiety,No,No Change,1,Satisfied,Good
EMP1422,23,Female,Manufacturing,Remote,52,9,5,Low,Burnout,No,No Change,2,Unsatisfied,Good
EMP1423,22,Female,Healthcare,Remote,31,10,4,High,Depression,No,Increase,1,Unsatisfied,Average
EMP1424,45,Non-binary,Manufacturing,Remote,51,3,4,Low,Burnout,Yes,Decrease,1,Neutral,Good
EMP1425,25,Female,Finance,Onsite,36,9,4,Low,Anxiety,Yes,Increase,5,Neutral,Average
EMP1426,44,Male,Finance,Onsite,59,10,3,High,Burnout,Yes,Increase,4,Neutral,Good
EMP1427,36,Female,Consulting,Remote,43,7,3,High,Anxiety,No,Increase,4,Neutral,Poor
EMP1428,37,Female,Consulting,Hybrid,54,13,3,Low,,Yes,Increase,2,Neutral,Good
EMP1429,45,Male,Healthcare,Hybrid,43,7,2,Medium,Depression,Yes,Decrease,2,Unsatisfied,Good
EMP1430,48,Female,Retail,Remote,22,2,5,High,Anxiety,No,No Change,5,Satisfied,Poor
EMP1431,42,Non-binary,Finance,Remote,34,8,4,Low,Depression,No,Decrease,5,Satisfied,Poor
EMP1432,24,Non-binary,Manufacturing,Remote,23,5,3,High,Anxiety,No,No Change,3,Satisfied,Good
EMP1433,58,Non-binary,Healthcare,Remote,27,3,4,High,Depression,No,No Change,2,Unsatisfied,Average
EMP1434,50,Female,Finance,Remote,45,1,1,Medium,,Yes,Decrease,1,Neutral,Good
EMP1435,46,Prefer not to say,Retail,Remote,42,7,2,Low,Anxiety,Yes,Increase,2,Neutral,Poor
EMP1436,56,Non-binary,Retail,Onsite,40,7,4,High,,No,Increase,4,Satisfied,Average
EMP1437,27,Male,Education,Onsite,46,6,4,Medium,,No,Increase,5,Neutral,Poor
EMP1438,38,Female,Retail,Hybrid,37,6,2,Low,Depression,Yes,No Change,2,Unsatisfied,Good
EMP1439,56,Non-binary,Consulting,Onsite,36,9,4,Medium,,No,No Change,3,Unsatisfied,Good
EMP1440,57,Female,IT,Hybrid,35,6,2,Low,Burnout,No,Increase,5,Unsatisfied,Good
EMP1441,22,Prefer not to say,Retail,Hybrid,24,4,3,Medium,Anxiety,No,Decrease,1,Satisfied,Average
EMP1442,45,Prefer not to say,Manufacturing,Remote,22,1,3,Medium,Anxiety,Yes,Increase,2,Satisfied,Poor
EMP1443,33,Male,Manufacturing,Hybrid,37,8,1,Low,,Yes,Decrease,1,Satisfied,Average
EMP1444,37,Non-binary,Manufacturing,Hybrid,28,13,1,Low,,No,No Change,2,Neutral,Good
EMP1445,29,Non-binary,IT,Remote,56,7,3,High,Anxiety,Yes,Decrease,4,Neutral,Poor
EMP1446,51,Female,Retail,Hybrid,36,9,3,High,,No,Increase,4,Satisfied,Average
EMP1447,43,Prefer not to say,Finance,Hybrid,35,1,2,Medium,Anxiety,Yes,No Change,4,Satisfied,Average
EMP1448,49,Non-binary,IT,Hybrid,41,10,1,Low,Depression,No,Increase,3,Unsatisfied,Poor
EMP1449,28,Female,Healthcare,Remote,40,13,1,Low,Depression,Yes,Decrease,4,Unsatisfied,Average
EMP1450,28,Female,IT,Hybrid,37,10,1,Medium,,Yes,No Change,2,Satisfied,Good
EMP1451,23,Prefer not to say,Finance,Onsite,27,12,3,Medium,Anxiety,No,No Change,3,Neutral,Poor
EMP1452,32,Male,IT,Hybrid,51,11,3,Low,Anxiety,Yes,No Change,5,Neutral,Poor
EMP1453,58,Male,Retail,Remote,35,4,1,High,Anxiety,No,Increase,5,Satisfied,Average
EMP1454,57,Male,Consulting,Onsite,46,7,5,Medium,,No,Increase,3,Unsatisfied,Poor
EMP1455,27,Female,Consulting,Onsite,50,7,2,Low,Anxiety,No,No Change,5,Unsatisfied,Good
EMP1456,40,Non-binary,Retail,Remote,26,2,1,Low,,Yes,Decrease,1,Neutral,Good
EMP1457,55,Male,Finance,Hybrid,38,14,5,Medium,Anxiety,No,Decrease,4,Unsatisfied,Poor
EMP1458,54,Male,Healthcare,Onsite,57,2,4,Low,Burnout,No,Increase,2,Satisfied,Poor
EMP1459,54,Non-binary,Retail,Remote,26,15,4,Medium,Depression,No,Increase,2,Neutral,Good
EMP1460,26,Non-binary,Finance,Remote,41,11,1,Low,Anxiety,Yes,Increase,2,Satisfied,Average
EMP1461,48,Male,Retail,Remote,41,5,4,High,Anxiety,Yes,Increase,5,Satisfied,Poor
EMP1462,32,Male,IT,Hybrid,25,9,4,Medium,,No,No Change,4,Satisfied,Good
EMP1463,52,Male,Consulting,Remote,56,10,4,Medium,Depression,No,No Change,1,Unsatisfied,Poor
EMP1464,57,Prefer not to say,Education,Remote,43,8,2,Medium,,No,No Change,2,Unsatisfied,Poor
EMP1465,36,Female,Education,Remote,39,5,3,High,Anxiety,Yes,No Change,3,Satisfied,Poor
EMP1466,54,Prefer not to say,Healthcare,Remote,39,12,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,Poor
EMP1467,40,Prefer not to say,IT,Onsite,53,4,2,High,Burnout,No,Increase,5,Neutral,Poor
EMP1468,49,Non-binary,Consulting,Remote,27,6,2,Medium,Depression,Yes,Decrease,4,Neutral,Average
EMP1469,24,Prefer not to say,Retail,Onsite,47,10,1,Low,Burnout,No,No Change,3,Neutral,Poor
EMP1470,54,Non-binary,Manufacturing,Hybrid,29,14,4,High,,Yes,Increase,1,Neutral,Good
EMP1471,35,Male,Consulting,Remote,41,4,5,Low,Burnout,No,No Change,2,Satisfied,Good
EMP1472,55,Non-binary,Healthcare,Remote,22,7,1,Low,Burnout,Yes,No Change,1,Neutral,Poor
EMP1473,36,Female,Healthcare,Onsite,41,13,5,Medium,,Yes,No Change,2,Satisfied,Average
EMP1474,43,Male,Healthcare,Onsite,44,14,1,Medium,Depression,Yes,Decrease,3,Unsatisfied,Average
EMP1475,25,Prefer not to say,Consulting,Remote,57,14,3,Low,,No,Decrease,5,Neutral,Average
EMP1476,42,Female,Retail,Remote,43,2,3,High,,Yes,Increase,1,Neutral,Average
EMP1477,24,Female,Consulting,Hybrid,43,11,2,Low,Depression,Yes,Increase,2,Satisfied,Poor
EMP1478,48,Female,Retail,Onsite,20,4,1,High,Burnout,No,Increase,4,Unsatisfied,Poor
EMP1479,47,Male,Retail,Hybrid,55,11,3,Low,Anxiety,Yes,Decrease,1,Unsatisfied,Poor
EMP1480,54,Prefer not to say,IT,Hybrid,44,15,4,High,Anxiety,Yes,No Change,2,Unsatisfied,Average
EMP1481,43,Non-binary,Retail,Hybrid,37,15,3,Low,,Yes,No Change,3,Neutral,Poor
EMP1482,29,Prefer not to say,Manufacturing,Remote,59,5,2,High,,No,No Change,2,Unsatisfied,Poor
EMP1483,37,Male,IT,Remote,43,11,3,Low,Burnout,Yes,Increase,5,Neutral,Average
EMP1484,39,Male,Manufacturing,Onsite,57,2,3,Medium,Anxiety,No,Increase,2,Unsatisfied,Average
EMP1485,46,Female,Education,Onsite,51,3,2,Low,Burnout,No,Decrease,4,Unsatisfied,Average
EMP1486,44,Male,Retail,Onsite,39,12,3,High,Depression,Yes,Decrease,4,Unsatisfied,Poor
EMP1487,36,Non-binary,Healthcare,Onsite,56,5,3,Medium,Depression,No,No Change,3,Satisfied,Average
EMP1488,28,Non-binary,Finance,Hybrid,53,6,1,Medium,Burnout,Yes,No Change,1,Satisfied,Average
EMP1489,23,Female,IT,Hybrid,33,10,1,Medium,Burnout,No,Decrease,3,Satisfied,Poor
EMP1490,60,Prefer not to say,Retail,Remote,47,6,5,High,,Yes,No Change,5,Satisfied,Good
EMP1491,55,Prefer not to say,IT,Hybrid,42,2,3,Medium,Depression,Yes,Decrease,2,Unsatisfied,Average
EMP1492,34,Male,Education,Remote,32,15,5,High,Depression,Yes,Decrease,3,Satisfied,Average
EMP1493,30,Prefer not to say,Finance,Onsite,58,4,5,High,Depression,No,Decrease,1,Neutral,Poor
EMP1494,26,Female,Education,Onsite,46,5,1,Medium,Burnout,No,Increase,3,Satisfied,Poor
EMP1495,44,Male,Retail,Onsite,29,7,3,Medium,Anxiety,Yes,Decrease,5,Satisfied,Poor
EMP1496,24,Prefer not to say,IT,Remote,39,6,1,Medium,Anxiety,Yes,Increase,2,Neutral,Good
EMP1497,59,Male,Healthcare,Hybrid,24,8,4,Low,Burnout,Yes,No Change,2,Satisfied,Poor
EMP1498,60,Male,Consulting,Onsite,30,0,3,High,,No,Increase,3,Satisfied,Average
EMP1499,32,Female,Consulting,Remote,37,8,2,High,Depression,Yes,Increase,1,Unsatisfied,Average
EMP1500,49,Prefer not to say,Consulting,Onsite,32,13,4,Medium,,No,No Change,2,Unsatisfied,Good
EMP1501,36,Female,IT,Onsite,49,12,4,High,Anxiety,No,Decrease,5,Neutral,Average
EMP1502,40,Female,Manufacturing,Onsite,24,7,5,Low,Anxiety,No,Decrease,5,Neutral,Poor
EMP1503,49,Non-binary,Finance,Hybrid,20,9,2,Low,,Yes,Decrease,4,Satisfied,Good
EMP1504,26,Female,Consulting,Onsite,41,4,3,Low,Anxiety,No,Increase,2,Satisfied,Poor
EMP1505,49,Prefer not to say,Finance,Hybrid,27,0,5,High,Depression,Yes,Increase,5,Neutral,Poor
EMP1506,60,Prefer not to say,Manufacturing,Onsite,43,12,2,High,,No,No Change,4,Satisfied,Average
EMP1507,42,Male,IT,Onsite,34,8,3,Medium,Anxiety,No,No Change,5,Unsatisfied,Average
EMP1508,28,Female,Consulting,Remote,20,8,5,Low,Depression,Yes,No Change,2,Satisfied,Poor
EMP1509,45,Prefer not to say,Finance,Remote,49,11,3,Low,,Yes,Decrease,1,Unsatisfied,Good
EMP1510,27,Prefer not to say,Finance,Remote,39,1,3,Low,Burnout,Yes,Increase,5,Unsatisfied,Poor
EMP1511,44,Female,Healthcare,Hybrid,56,15,3,Medium,,Yes,Increase,4,Unsatisfied,Average
EMP1512,28,Male,Retail,Onsite,55,12,4,Low,,No,No Change,3,Satisfied,Average
EMP1513,43,Male,Retail,Remote,59,15,4,High,,No,Increase,1,Neutral,Average
EMP1514,24,Non-binary,Manufacturing,Hybrid,33,6,5,Low,,Yes,Decrease,2,Neutral,Average
EMP1515,53,Female,IT,Onsite,42,13,3,Medium,Anxiety,Yes,Increase,3,Satisfied,Good
EMP1516,41,Prefer not to say,IT,Remote,22,4,1,Low,Anxiety,No,No Change,5,Unsatisfied,Good
EMP1517,59,Male,IT,Onsite,42,11,1,Low,Anxiety,No,Decrease,2,Satisfied,Good
EMP1518,45,Female,Healthcare,Remote,31,14,3,Low,Burnout,No,No Change,4,Neutral,Average
EMP1519,26,Non-binary,Finance,Remote,40,9,3,High,Anxiety,No,No Change,3,Unsatisfied,Poor
EMP1520,52,Prefer not to say,Manufacturing,Remote,20,5,4,High,Anxiety,Yes,Increase,2,Satisfied,Good
EMP1521,48,Prefer not to say,Consulting,Onsite,28,1,3,High,Depression,No,Decrease,5,Neutral,Poor
EMP1522,22,Prefer not to say,IT,Onsite,35,13,1,Medium,,Yes,No Change,2,Neutral,Good
EMP1523,41,Non-binary,Manufacturing,Remote,60,11,1,High,Anxiety,No,Decrease,4,Neutral,Poor
EMP1524,50,Non-binary,Retail,Onsite,58,7,3,High,Depression,No,Decrease,4,Unsatisfied,Average
EMP1525,29,Female,Finance,Remote,28,0,3,High,Burnout,No,Increase,5,Neutral,Average
EMP1526,27,Male,IT,Remote,44,14,2,Low,Depression,No,Decrease,4,Unsatisfied,Poor
EMP1527,43,Prefer not to say,Consulting,Onsite,50,4,5,Medium,Burnout,Yes,No Change,4,Neutral,Average
EMP1528,51,Non-binary,Finance,Remote,60,1,4,Medium,Burnout,Yes,Decrease,5,Neutral,Poor
EMP1529,47,Female,Finance,Hybrid,53,5,5,High,,No,Increase,5,Unsatisfied,Good
EMP1530,44,Male,IT,Remote,36,7,4,Low,Burnout,Yes,Increase,5,Satisfied,Average
EMP1531,44,Prefer not to say,Retail,Hybrid,24,0,3,High,Depression,Yes,Increase,4,Neutral,Average
EMP1532,43,Female,Retail,Remote,25,0,3,High,Depression,Yes,Increase,5,Unsatisfied,Average
EMP1533,22,Female,Consulting,Remote,47,8,5,Medium,Anxiety,No,No Change,3,Neutral,Average
EMP1534,40,Prefer not to say,Consulting,Remote,50,10,4,Low,Depression,Yes,No Change,4,Neutral,Good
EMP1535,34,Non-binary,IT,Hybrid,40,11,5,High,Anxiety,Yes,Decrease,4,Neutral,Poor
EMP1536,59,Female,Finance,Onsite,39,11,1,Low,Depression,No,No Change,2,Neutral,Good
EMP1537,26,Female,Consulting,Onsite,54,12,4,High,Depression,Yes,No Change,5,Neutral,Poor
EMP1538,40,Male,Manufacturing,Hybrid,44,9,3,High,Burnout,Yes,No Change,3,Neutral,Good
EMP1539,47,Female,Retail,Remote,33,3,2,High,Depression,Yes,Increase,4,Neutral,Good
EMP1540,54,Female,Healthcare,Hybrid,25,8,5,High,Depression,Yes,Increase,5,Neutral,Poor
EMP1541,26,Male,IT,Onsite,33,8,2,High,,No,Increase,2,Unsatisfied,Poor
EMP1542,52,Non-binary,Education,Remote,31,7,3,Low,Burnout,Yes,Decrease,4,Unsatisfied,Poor
EMP1543,38,Male,Education,Remote,36,1,3,Low,Burnout,Yes,Decrease,5,Satisfied,Average
EMP1544,34,Non-binary,Consulting,Remote,35,9,2,Medium,Depression,No,Decrease,2,Satisfied,Good
EMP1545,39,Prefer not to say,Finance,Remote,24,12,2,Low,Anxiety,Yes,No Change,4,Satisfied,Poor
EMP1546,60,Non-binary,Manufacturing,Hybrid,50,7,3,High,Anxiety,Yes,Increase,5,Unsatisfied,Poor
EMP1547,24,Female,Retail,Hybrid,30,11,3,High,Depression,No,Decrease,3,Satisfied,Average
EMP1548,49,Prefer not to say,Consulting,Onsite,38,3,3,High,,No,Decrease,3,Satisfied,Poor
EMP1549,45,Non-binary,Consulting,Onsite,40,5,1,Low,Anxiety,No,Increase,3,Unsatisfied,Poor
EMP1550,28,Male,Retail,Remote,40,9,3,Medium,Burnout,Yes,No Change,4,Unsatisfied,Average
EMP1551,34,Female,IT,Remote,29,2,5,High,Depression,No,No Change,1,Neutral,Poor
EMP1552,27,Non-binary,Manufacturing,Onsite,42,11,1,High,Anxiety,Yes,Decrease,3,Satisfied,Average
EMP1553,35,Female,Consulting,Hybrid,50,3,4,Low,Anxiety,Yes,No Change,2,Neutral,Good
EMP1554,47,Prefer not to say,Retail,Remote,23,13,4,Low,,No,No Change,2,Unsatisfied,Average
EMP1555,51,Prefer not to say,Retail,Remote,31,10,3,High,Anxiety,No,Increase,3,Neutral,Poor
EMP1556,25,Prefer not to say,IT,Onsite,44,9,4,Low,Burnout,Yes,No Change,4,Neutral,Poor
EMP1557,36,Female,Retail,Hybrid,27,6,4,Low,Depression,No,Increase,1,Satisfied,Average
EMP1558,47,Female,Education,Remote,59,15,3,Medium,,Yes,Increase,4,Satisfied,Poor
EMP1559,60,Male,IT,Onsite,36,4,3,Medium,Anxiety,Yes,No Change,4,Unsatisfied,Good
EMP1560,25,Female,Finance,Hybrid,26,8,4,Medium,Depression,No,No Change,5,Unsatisfied,Poor
EMP1561,26,Female,Retail,Onsite,32,9,3,Low,Anxiety,Yes,Decrease,1,Satisfied,Average
EMP1562,55,Male,Consulting,Hybrid,23,11,4,Low,,Yes,Decrease,3,Satisfied,Poor
EMP1563,31,Non-binary,Manufacturing,Hybrid,30,9,3,Low,,Yes,No Change,1,Satisfied,Average
EMP1564,36,Male,Manufacturing,Onsite,24,0,5,Medium,Burnout,No,Decrease,3,Unsatisfied,Good
EMP1565,23,Non-binary,Education,Remote,37,6,5,Low,Burnout,No,Decrease,5,Satisfied,Poor
EMP1566,56,Male,Education,Onsite,41,15,1,High,,No,Decrease,1,Unsatisfied,Poor
EMP1567,36,Non-binary,Finance,Remote,42,9,2,Medium,,Yes,No Change,3,Unsatisfied,Good
EMP1568,33,Female,Manufacturing,Remote,34,9,3,Medium,Burnout,No,Decrease,4,Neutral,Average
EMP1569,50,Prefer not to say,Manufacturing,Hybrid,54,8,2,Low,Anxiety,No,Increase,3,Neutral,Good
EMP1570,29,Prefer not to say,Education,Hybrid,29,8,2,Medium,Depression,Yes,Decrease,5,Satisfied,Good
EMP1571,55,Non-binary,Finance,Hybrid,58,14,1,High,Anxiety,Yes,Decrease,3,Unsatisfied,Poor
EMP1572,34,Non-binary,Consulting,Onsite,57,6,5,High,Depression,Yes,Decrease,1,Neutral,Average
EMP1573,48,Non-binary,Finance,Remote,39,3,3,Low,Burnout,No,No Change,3,Unsatisfied,Good
EMP1574,51,Female,Retail,Hybrid,50,5,1,Low,Depression,No,Increase,1,Neutral,Poor
EMP1575,31,Non-binary,Finance,Onsite,42,4,4,Medium,Depression,Yes,Decrease,1,Neutral,Good
EMP1576,22,Prefer not to say,Manufacturing,Hybrid,35,2,1,Low,Burnout,Yes,No Change,2,Unsatisfied,Average
EMP1577,23,Male,Finance,Remote,54,10,5,Low,,Yes,No Change,3,Satisfied,Good
EMP1578,55,Prefer not to say,Consulting,Hybrid,36,8,2,High,Depression,No,Decrease,3,Neutral,Poor
EMP1579,52,Prefer not to say,IT,Remote,26,12,4,High,Depression,Yes,Decrease,3,Satisfied,Good
EMP1580,47,Prefer not to say,Education,Onsite,55,14,4,Medium,Burnout,Yes,Decrease,2,Neutral,Good
EMP1581,46,Male,Finance,Onsite,23,8,1,High,Burnout,No,No Change,5,Satisfied,Average
EMP1582,28,Non-binary,Consulting,Remote,43,10,2,High,Depression,No,Decrease,2,Neutral,Average
EMP1583,57,Prefer not to say,Retail,Hybrid,44,13,3,Medium,Burnout,Yes,Decrease,4,Satisfied,Poor
EMP1584,26,Female,Healthcare,Remote,36,9,5,Low,Anxiety,No,Increase,2,Satisfied,Average
EMP1585,39,Non-binary,IT,Remote,59,15,1,Medium,Burnout,No,Decrease,3,Unsatisfied,Average
EMP1586,54,Non-binary,Manufacturing,Remote,24,2,2,Medium,,Yes,Decrease,5,Unsatisfied,Poor
EMP1587,25,Prefer not to say,Education,Remote,40,6,2,High,,Yes,No Change,2,Unsatisfied,Poor
EMP1588,40,Prefer not to say,Manufacturing,Hybrid,30,0,1,High,Depression,Yes,No Change,3,Unsatisfied,Poor
EMP1589,56,Non-binary,Retail,Remote,51,9,1,High,Depression,Yes,No Change,4,Neutral,Average
